hotel_key,hotel_public_id,target_date,horizon_days,prediction_cutoff,partition,target_room_nights,day_of_week,day_of_month,month,week_of_year,day_of_year,is_weekend,demand_lag_1,demand_lag_7,demand_lag_14,demand_lag_28,demand_rolling_mean_7,demand_rolling_mean_14,demand_rolling_mean_28,on_books_room_nights_at_cutoff,rooms_existing_at_cutoff
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-07,1,2015-09-07T00:00:00+00:00,train,212,0,7,9,37,250,0,217,99,,,153.71428571428572,,,196,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-08,1,2015-09-08T00:00:00+00:00,train,183,1,8,9,37,251,0,181,,,,,,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-08,1,2015-09-08T00:00:00+00:00,train,165,1,8,9,37,251,0,212,97,,,169.85714285714286,,,144,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-09,1,2015-09-09T00:00:00+00:00,train,179,2,9,9,37,252,0,183,,,,,,,178,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-09,1,2015-09-09T00:00:00+00:00,train,199,2,9,9,37,252,0,165,127,132,,179.57142857142858,137.42857142857142,,193,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-10,1,2015-09-10T00:00:00+00:00,train,183,3,10,9,37,253,0,179,,,,,,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-10,1,2015-09-10T00:00:00+00:00,train,187,3,10,9,37,253,0,199,130,113,,189.85714285714286,142.21428571428572,,184,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-11,1,2015-09-11T00:00:00+00:00,train,182,4,11,9,37,254,0,183,,,,,,,179,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-11,1,2015-09-11T00:00:00+00:00,train,187,4,11,9,37,254,0,187,207,82,,198.0,147.5,,185,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-12,1,2015-09-12T00:00:00+00:00,train,185,5,12,9,37,255,1,182,,,,,,,184,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-12,1,2015-09-12T00:00:00+00:00,train,194,5,12,9,37,255,1,187,199,81,,195.14285714285714,155.0,,192,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-13,1,2015-09-13T00:00:00+00:00,train,174,6,13,9,37,256,1,185,,,,,,,173,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-13,1,2015-09-13T00:00:00+00:00,train,129,6,13,9,37,256,1,194,217,63,,194.42857142857142,163.07142857142858,,126,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-14,1,2015-09-14T00:00:00+00:00,train,184,0,14,9,38,257,0,174,181,,,181.0,,,184,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-14,1,2015-09-14T00:00:00+00:00,train,171,0,14,9,38,257,0,129,212,99,,181.85714285714286,167.78571428571428,,167,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-15,1,2015-09-15T00:00:00+00:00,train,184,1,15,9,38,258,0,184,183,,,181.42857142857142,,,183,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-15,1,2015-09-15T00:00:00+00:00,train,195,1,15,9,38,258,0,171,165,97,,176.0,172.92857142857142,,188,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-16,1,2015-09-16T00:00:00+00:00,train,174,2,16,9,38,259,0,184,179,,,181.57142857142858,,,163,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-16,1,2015-09-16T00:00:00+00:00,train,210,2,16,9,38,259,0,195,199,127,,180.28571428571428,179.92857142857142,,213,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-17,1,2015-09-17T00:00:00+00:00,train,184,3,17,9,38,260,0,174,183,,,180.85714285714286,,,183,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-17,1,2015-09-17T00:00:00+00:00,train,216,3,17,9,38,260,0,210,187,130,,181.85714285714286,185.85714285714286,,212,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-18,1,2015-09-18T00:00:00+00:00,train,181,4,18,9,38,261,0,184,182,,,181.0,,,181,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-18,1,2015-09-18T00:00:00+00:00,train,220,4,18,9,38,261,0,216,187,207,,186.0,192.0,,217,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-19,1,2015-09-19T00:00:00+00:00,train,183,5,19,9,38,262,1,181,185,,,180.85714285714286,,,184,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-19,1,2015-09-19T00:00:00+00:00,train,218,5,19,9,38,262,1,220,194,199,,190.71428571428572,192.92857142857142,,217,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-20,1,2015-09-20T00:00:00+00:00,train,179,6,20,9,38,263,1,183,174,,,180.57142857142858,,,179,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-20,1,2015-09-20T00:00:00+00:00,train,174,6,20,9,38,263,1,218,129,217,,194.14285714285714,194.28571428571428,,169,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-21,1,2015-09-21T00:00:00+00:00,train,183,0,21,9,39,264,0,179,184,181,,181.28571428571428,181.14285714285714,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-21,1,2015-09-21T00:00:00+00:00,train,211,0,21,9,39,264,0,174,171,212,,200.57142857142858,191.21428571428572,,198,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-22,1,2015-09-22T00:00:00+00:00,train,183,1,22,9,39,265,0,183,184,183,,181.14285714285714,181.28571428571428,,183,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-22,1,2015-09-22T00:00:00+00:00,train,219,1,22,9,39,265,0,211,195,165,,206.28571428571428,191.14285714285714,,212,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-23,1,2015-09-23T00:00:00+00:00,train,180,2,23,9,39,266,0,183,174,179,,181.0,181.28571428571428,,178,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-23,1,2015-09-23T00:00:00+00:00,train,209,2,23,9,39,266,0,219,210,199,132,209.71428571428572,195.0,166.21428571428572,205,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-24,1,2015-09-24T00:00:00+00:00,train,182,3,24,9,39,267,0,180,184,183,,181.85714285714286,181.35714285714286,,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-24,1,2015-09-24T00:00:00+00:00,train,197,3,24,9,39,267,0,209,216,187,113,209.57142857142858,195.71428571428572,168.96428571428572,196,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-25,1,2015-09-25T00:00:00+00:00,train,174,4,25,9,39,268,0,182,181,182,,181.57142857142858,181.28571428571428,,171,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-25,1,2015-09-25T00:00:00+00:00,train,216,4,25,9,39,268,0,197,220,187,82,206.85714285714286,196.42857142857142,171.96428571428572,215,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-26,1,2015-09-26T00:00:00+00:00,train,183,5,26,9,39,269,1,174,183,185,,180.57142857142858,180.71428571428572,,184,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-26,1,2015-09-26T00:00:00+00:00,train,188,5,26,9,39,269,1,216,218,194,81,206.28571428571428,198.5,176.75,184,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-27,1,2015-09-27T00:00:00+00:00,train,183,6,27,9,39,270,1,183,179,174,,180.57142857142858,180.57142857142858,,183,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-27,1,2015-09-27T00:00:00+00:00,train,194,6,27,9,39,270,1,188,174,129,63,202.0,198.07142857142858,180.57142857142858,194,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-28,1,2015-09-28T00:00:00+00:00,train,180,0,28,9,40,271,0,183,183,184,,181.14285714285714,181.21428571428572,,175,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-28,1,2015-09-28T00:00:00+00:00,train,197,0,28,9,40,271,0,194,211,171,99,204.85714285714286,202.71428571428572,185.25,194,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-29,1,2015-09-29T00:00:00+00:00,train,183,1,29,9,40,272,0,180,183,184,,180.71428571428572,180.92857142857142,,184,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-29,1,2015-09-29T00:00:00+00:00,train,164,1,29,9,40,272,0,197,219,195,97,202.85714285714286,204.57142857142858,188.75,162,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-30,1,2015-09-30T00:00:00+00:00,train,184,2,30,9,40,273,0,183,180,174,,180.71428571428572,180.85714285714286,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-30,1,2015-09-30T00:00:00+00:00,train,113,2,30,9,40,273,0,164,209,210,127,195.0,202.35714285714286,191.14285714285714,109,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-01,1,2015-10-01T00:00:00+00:00,train,182,3,1,10,40,274,0,184,182,184,,181.28571428571428,181.57142857142858,,178,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-01,1,2015-10-01T00:00:00+00:00,train,92,3,1,10,40,274,0,113,197,216,130,181.28571428571428,195.42857142857142,190.64285714285714,88,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-02,1,2015-10-02T00:00:00+00:00,train,183,4,2,10,40,275,0,182,174,181,,181.28571428571428,181.42857142857142,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-02,1,2015-10-02T00:00:00+00:00,train,211,4,2,10,40,275,0,92,216,220,207,166.28571428571428,186.57142857142858,189.28571428571428,204,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-03,1,2015-10-03T00:00:00+00:00,train,178,5,3,10,40,276,1,183,183,183,,182.57142857142858,181.57142857142858,,176,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-03,1,2015-10-03T00:00:00+00:00,train,200,5,3,10,40,276,1,211,188,218,199,165.57142857142858,185.92857142857142,189.42857142857142,200,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-04,1,2015-10-04T00:00:00+00:00,train,175,6,4,10,40,277,1,178,183,179,,181.85714285714286,181.21428571428572,,167,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-04,1,2015-10-04T00:00:00+00:00,train,161,6,4,10,40,277,1,200,194,174,217,167.28571428571428,184.64285714285714,189.46428571428572,161,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-05,1,2015-10-05T00:00:00+00:00,train,179,0,5,10,41,278,0,175,180,183,181,180.71428571428572,180.92857142857142,181.03571428571428,169,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-05,1,2015-10-05T00:00:00+00:00,train,174,0,5,10,41,278,0,161,197,211,212,162.57142857142858,183.71428571428572,187.46428571428572,168,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-06,1,2015-10-06T00:00:00+00:00,train,185,1,6,10,41,279,0,179,183,183,183,180.57142857142858,180.64285714285714,180.96428571428572,184,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-06,1,2015-10-06T00:00:00+00:00,train,180,1,6,10,41,279,0,174,164,219,165,159.28571428571428,181.07142857142858,186.10714285714286,176,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-07,1,2015-10-07T00:00:00+00:00,train,182,2,7,10,41,280,0,185,184,180,179,180.85714285714286,180.78571428571428,181.03571428571428,181,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-07,1,2015-10-07T00:00:00+00:00,train,222,2,7,10,41,280,0,180,113,209,199,161.57142857142858,178.28571428571428,186.64285714285714,209,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-08,1,2015-10-08T00:00:00+00:00,train,182,3,8,10,41,281,0,182,182,182,183,180.57142857142858,180.92857142857142,181.14285714285714,185,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-08,1,2015-10-08T00:00:00+00:00,train,223,3,8,10,41,281,0,222,92,197,187,177.14285714285714,179.21428571428572,187.46428571428572,229,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-09,1,2015-10-09T00:00:00+00:00,train,167,4,9,10,41,282,0,182,183,174,182,180.57142857142858,180.92857142857142,181.10714285714286,165,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-09,1,2015-10-09T00:00:00+00:00,train,205,4,9,10,41,282,0,223,211,216,187,195.85714285714286,181.07142857142858,188.75,202,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-10,1,2015-10-10T00:00:00+00:00,train,183,5,10,10,41,283,1,167,178,183,185,178.28571428571428,180.42857142857142,180.57142857142858,183,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-10,1,2015-10-10T00:00:00+00:00,train,222,5,10,10,41,283,1,205,200,188,194,195.0,180.28571428571428,189.39285714285714,223,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-11,1,2015-10-11T00:00:00+00:00,train,168,6,11,10,41,284,1,183,175,183,174,179.0,180.42857142857142,180.5,164,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-11,1,2015-10-11T00:00:00+00:00,train,173,6,11,10,41,284,1,222,161,194,129,198.14285714285714,182.71428571428572,190.39285714285714,166,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-12,1,2015-10-12T00:00:00+00:00,train,155,0,12,10,42,285,0,168,179,180,184,178.0,179.35714285714286,180.28571428571428,148,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-12,1,2015-10-12T00:00:00+00:00,train,175,0,12,10,42,285,0,173,174,197,171,199.85714285714286,181.21428571428572,191.96428571428572,169,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-13,1,2015-10-13T00:00:00+00:00,train,131,1,13,10,42,286,0,155,185,183,184,174.57142857142858,177.57142857142858,179.25,122,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-13,1,2015-10-13T00:00:00+00:00,train,156,1,13,10,42,286,0,175,180,164,195,200.0,179.64285714285714,192.10714285714286,156,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-14,1,2015-10-14T00:00:00+00:00,train,134,2,14,10,42,287,0,131,182,184,174,166.85714285714286,173.85714285714286,177.35714285714286,127,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-14,1,2015-10-14T00:00:00+00:00,train,133,2,14,10,42,287,0,156,222,113,210,196.57142857142858,179.07142857142858,190.71428571428572,127,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-15,1,2015-10-15T00:00:00+00:00,train,180,3,15,10,42,288,0,134,182,182,184,160.0,170.28571428571428,175.92857142857142,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-15,1,2015-10-15T00:00:00+00:00,train,190,3,15,10,42,288,0,133,223,92,216,183.85714285714286,180.5,187.96428571428572,183,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-16,1,2015-10-16T00:00:00+00:00,train,178,4,16,10,42,289,0,180,167,183,181,159.71428571428572,170.14285714285714,175.78571428571428,175,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-16,1,2015-10-16T00:00:00+00:00,train,216,4,16,10,42,289,0,190,205,211,220,179.14285714285714,187.5,187.03571428571428,218,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-17,1,2015-10-17T00:00:00+00:00,train,179,5,17,10,42,290,1,178,183,178,183,161.28571428571428,169.78571428571428,175.67857142857142,177,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-17,1,2015-10-17T00:00:00+00:00,train,217,5,17,10,42,290,1,216,222,200,218,180.71428571428572,187.85714285714286,186.89285714285714,219,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-18,1,2015-10-18T00:00:00+00:00,train,181,6,18,10,42,291,1,179,168,175,179,160.71428571428572,169.85714285714286,175.53571428571428,176,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-18,1,2015-10-18T00:00:00+00:00,train,155,6,18,10,42,291,1,217,173,161,174,180.0,189.07142857142858,186.85714285714286,151,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-19,1,2015-10-19T00:00:00+00:00,train,152,0,19,10,43,292,0,181,155,179,183,162.57142857142858,170.28571428571428,175.60714285714286,148,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-19,1,2015-10-19T00:00:00+00:00,train,196,0,19,10,43,292,0,155,175,174,211,177.42857142857142,188.64285714285714,186.17857142857142,193,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-20,1,2015-10-20T00:00:00+00:00,train,157,1,20,10,43,293,0,152,131,185,183,162.14285714285714,168.35714285714286,174.5,150,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-20,1,2015-10-20T00:00:00+00:00,train,215,1,20,10,43,293,0,196,156,180,219,180.42857142857142,190.21428571428572,185.64285714285714,206,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-21,1,2015-10-21T00:00:00+00:00,train,172,2,21,10,43,294,0,157,134,182,180,165.85714285714286,166.35714285714286,173.57142857142858,167,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-21,1,2015-10-21T00:00:00+00:00,train,215,2,21,10,43,294,0,215,133,222,209,188.85714285714286,192.71428571428572,185.5,213,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-22,1,2015-10-22T00:00:00+00:00,train,181,3,22,10,43,295,0,172,180,182,182,171.28571428571428,165.64285714285714,173.28571428571428,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-22,1,2015-10-22T00:00:00+00:00,train,145,3,22,10,43,295,0,215,190,223,197,200.57142857142858,192.21428571428572,185.71428571428572,142,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-23,1,2015-10-23T00:00:00+00:00,train,177,4,23,10,43,296,0,181,178,167,174,171.42857142857142,165.57142857142858,173.25,173,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-23,1,2015-10-23T00:00:00+00:00,train,127,4,23,10,43,296,0,145,216,205,216,194.14285714285714,186.64285714285714,183.85714285714286,125,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-24,1,2015-10-24T00:00:00+00:00,train,159,5,24,10,43,297,1,177,179,183,183,171.28571428571428,166.28571428571428,173.35714285714286,155,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-24,1,2015-10-24T00:00:00+00:00,train,107,5,24,10,43,297,1,127,217,222,188,181.42857142857142,181.07142857142858,180.67857142857142,102,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-25,1,2015-10-25T00:00:00+00:00,train,124,6,25,10,43,298,1,159,181,168,183,168.42857142857142,164.57142857142858,172.5,123,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-25,1,2015-10-25T00:00:00+00:00,train,195,6,25,10,43,298,1,107,155,173,194,165.71428571428572,172.85714285714286,177.78571428571428,193,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-26,1,2015-10-26T00:00:00+00:00,train,106,0,26,10,44,299,0,124,152,155,180,160.28571428571428,161.42857142857142,170.39285714285714,99,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-26,1,2015-10-26T00:00:00+00:00,train,199,0,26,10,44,299,0,195,196,175,197,171.42857142857142,174.42857142857142,177.82142857142858,196,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-27,1,2015-10-27T00:00:00+00:00,train,115,1,27,10,44,300,0,106,157,131,183,153.71428571428572,157.92857142857142,167.75,104,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-27,1,2015-10-27T00:00:00+00:00,train,186,1,27,10,44,300,0,199,215,156,164,171.85714285714286,176.14285714285714,177.89285714285714,183,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-28,1,2015-10-28T00:00:00+00:00,train,102,2,28,10,44,301,0,115,172,134,184,147.71428571428572,156.78571428571428,165.32142857142858,92,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-28,1,2015-10-28T00:00:00+00:00,train,173,2,28,10,44,301,0,186,215,133,113,167.71428571428572,178.28571428571428,178.67857142857142,171,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-29,1,2015-10-29T00:00:00+00:00,train,89,3,29,10,44,302,0,102,181,180,182,137.71428571428572,154.5,162.39285714285714,87,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-29,1,2015-10-29T00:00:00+00:00,train,201,3,29,10,44,302,0,173,145,190,92,161.71428571428572,181.14285714285714,180.82142857142858,199,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-30,1,2015-10-30T00:00:00+00:00,train,100,4,30,10,44,303,0,89,177,178,183,124.57142857142857,148.0,159.07142857142858,99,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-30,1,2015-10-30T00:00:00+00:00,train,177,4,30,10,44,303,0,201,127,216,211,169.71428571428572,181.92857142857142,184.71428571428572,173,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-31,1,2015-10-31T00:00:00+00:00,train,119,5,31,10,44,304,1,100,159,179,178,113.57142857142857,142.42857142857142,156.10714285714286,115,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-31,1,2015-10-31T00:00:00+00:00,train,99,5,31,10,44,304,1,177,107,217,200,176.85714285714286,179.14285714285714,183.5,96,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-01,1,2015-11-01T00:00:00+00:00,train,73,6,1,11,44,305,1,119,124,181,175,107.85714285714286,138.14285714285714,154.0,76,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-01,1,2015-11-01T00:00:00+00:00,train,94,6,1,11,44,305,1,99,195,155,161,175.71428571428572,170.71428571428572,179.89285714285714,92,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-02,1,2015-11-02T00:00:00+00:00,train,78,0,2,11,45,306,0,73,106,152,179,100.57142857142857,130.42857142857142,150.35714285714286,74,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-02,1,2015-11-02T00:00:00+00:00,train,68,0,2,11,45,306,0,94,199,196,174,161.28571428571428,166.35714285714286,177.5,66,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-03,1,2015-11-03T00:00:00+00:00,train,113,1,3,11,45,307,0,78,115,157,185,96.57142857142857,125.14285714285714,146.75,107,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-03,1,2015-11-03T00:00:00+00:00,train,72,1,3,11,45,307,0,68,186,215,180,142.57142857142858,157.21428571428572,173.71428571428572,69,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-04,1,2015-11-04T00:00:00+00:00,train,108,2,4,11,45,308,0,113,102,172,182,96.28571428571429,122.0,144.17857142857142,104,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-04,1,2015-11-04T00:00:00+00:00,train,80,2,4,11,45,308,0,72,173,215,222,126.28571428571429,147.0,169.85714285714286,78,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-05,1,2015-11-05T00:00:00+00:00,train,109,3,5,11,45,309,0,108,89,181,182,97.14285714285714,117.42857142857143,141.53571428571428,103,
