hotel_key,hotel_public_id,target_date,horizon_days,prediction_cutoff,partition,target_room_nights,day_of_week,day_of_month,month,week_of_year,day_of_year,is_weekend,demand_lag_14,demand_lag_28,demand_rolling_mean_7,demand_rolling_mean_14,demand_rolling_mean_28,on_books_room_nights_at_cutoff,rooms_existing_at_cutoff
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-09,14,2015-08-27T00:00:00+00:00,train,179,2,9,9,37,252,0,,,,,,169,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-09,14,2015-08-27T00:00:00+00:00,train,199,2,9,9,37,252,0,132,,,,,134,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-10,14,2015-08-28T00:00:00+00:00,train,183,3,10,9,37,253,0,,,,,,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-10,14,2015-08-28T00:00:00+00:00,train,187,3,10,9,37,253,0,113,,,,,134,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-11,14,2015-08-29T00:00:00+00:00,train,182,4,11,9,37,254,0,,,,,,166,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-11,14,2015-08-29T00:00:00+00:00,train,187,4,11,9,37,254,0,82,,,,,161,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-12,14,2015-08-30T00:00:00+00:00,train,185,5,12,9,37,255,1,,,,,,181,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-12,14,2015-08-30T00:00:00+00:00,train,194,5,12,9,37,255,1,81,,,,,180,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-13,14,2015-08-31T00:00:00+00:00,train,174,6,13,9,37,256,1,,,,,,168,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-13,14,2015-08-31T00:00:00+00:00,train,129,6,13,9,37,256,1,63,,,,,112,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-14,14,2015-09-01T00:00:00+00:00,train,184,0,14,9,38,257,0,,,,,,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-14,14,2015-09-01T00:00:00+00:00,train,171,0,14,9,38,257,0,99,,,,,143,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-15,14,2015-09-02T00:00:00+00:00,train,184,1,15,9,38,258,0,,,,,,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-15,14,2015-09-02T00:00:00+00:00,train,195,1,15,9,38,258,0,97,,95.28571428571429,,,156,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-16,14,2015-09-03T00:00:00+00:00,train,174,2,16,9,38,259,0,,,,,,147,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-16,14,2015-09-03T00:00:00+00:00,train,210,2,16,9,38,259,0,127,,94.57142857142857,,,181,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-17,14,2015-09-04T00:00:00+00:00,train,184,3,17,9,38,260,0,,,,,,175,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-17,14,2015-09-04T00:00:00+00:00,train,216,3,17,9,38,260,0,130,,97.0,,,195,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-18,14,2015-09-05T00:00:00+00:00,train,181,4,18,9,38,261,0,,,,,,175,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-18,14,2015-09-05T00:00:00+00:00,train,220,4,18,9,38,261,0,207,,114.85714285714286,,,220,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-19,14,2015-09-06T00:00:00+00:00,train,183,5,19,9,38,262,1,,,,,,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-19,14,2015-09-06T00:00:00+00:00,train,218,5,19,9,38,262,1,199,,131.71428571428572,,,202,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-20,14,2015-09-07T00:00:00+00:00,train,179,6,20,9,38,263,1,,,,,,179,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-20,14,2015-09-07T00:00:00+00:00,train,174,6,20,9,38,263,1,217,,153.71428571428572,,,121,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-21,14,2015-09-08T00:00:00+00:00,train,183,0,21,9,39,264,0,181,,,,,184,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-21,14,2015-09-08T00:00:00+00:00,train,211,0,21,9,39,264,0,212,,169.85714285714286,,,146,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-22,14,2015-09-09T00:00:00+00:00,train,183,1,22,9,39,265,0,183,,,,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-22,14,2015-09-09T00:00:00+00:00,train,219,1,22,9,39,265,0,165,,179.57142857142858,137.42857142857142,,134,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-23,14,2015-09-10T00:00:00+00:00,train,180,2,23,9,39,266,0,179,,,,,178,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-23,14,2015-09-10T00:00:00+00:00,train,209,2,23,9,39,266,0,199,132,189.85714285714286,142.21428571428572,,123,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-24,14,2015-09-11T00:00:00+00:00,train,182,3,24,9,39,267,0,183,,,,,179,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-24,14,2015-09-11T00:00:00+00:00,train,197,3,24,9,39,267,0,187,113,198.0,147.5,,146,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-25,14,2015-09-12T00:00:00+00:00,train,174,4,25,9,39,268,0,182,,,,,162,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-25,14,2015-09-12T00:00:00+00:00,train,216,4,25,9,39,268,0,187,82,195.14285714285714,155.0,,200,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-26,14,2015-09-13T00:00:00+00:00,train,183,5,26,9,39,269,1,185,,,,,174,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-26,14,2015-09-13T00:00:00+00:00,train,188,5,26,9,39,269,1,194,81,194.42857142857142,163.07142857142858,,169,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-27,14,2015-09-14T00:00:00+00:00,train,183,6,27,9,39,270,1,174,,181.0,,,176,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-27,14,2015-09-14T00:00:00+00:00,train,194,6,27,9,39,270,1,129,63,181.85714285714286,167.78571428571428,,175,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-28,14,2015-09-15T00:00:00+00:00,train,180,0,28,9,40,271,0,184,,181.42857142857142,,,169,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-28,14,2015-09-15T00:00:00+00:00,train,197,0,28,9,40,271,0,171,99,176.0,172.92857142857142,,172,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-29,14,2015-09-16T00:00:00+00:00,train,183,1,29,9,40,272,0,184,,181.57142857142858,,,176,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-29,14,2015-09-16T00:00:00+00:00,train,164,1,29,9,40,272,0,195,97,180.28571428571428,179.92857142857142,,135,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-30,14,2015-09-17T00:00:00+00:00,train,184,2,30,9,40,273,0,174,,180.85714285714286,,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-30,14,2015-09-17T00:00:00+00:00,train,113,2,30,9,40,273,0,210,127,181.85714285714286,185.85714285714286,,102,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-01,14,2015-09-18T00:00:00+00:00,train,182,3,1,10,40,274,0,184,,181.0,,,176,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-01,14,2015-09-18T00:00:00+00:00,train,92,3,1,10,40,274,0,216,130,186.0,192.0,,81,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-02,14,2015-09-19T00:00:00+00:00,train,183,4,2,10,40,275,0,181,,180.85714285714286,,,184,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-02,14,2015-09-19T00:00:00+00:00,train,211,4,2,10,40,275,0,220,207,190.71428571428572,192.92857142857142,,191,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-03,14,2015-09-20T00:00:00+00:00,train,178,5,3,10,40,276,1,183,,180.57142857142858,,,172,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-03,14,2015-09-20T00:00:00+00:00,train,200,5,3,10,40,276,1,218,199,194.14285714285714,194.28571428571428,,196,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-04,14,2015-09-21T00:00:00+00:00,train,175,6,4,10,40,277,1,179,,181.28571428571428,181.14285714285714,,163,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-04,14,2015-09-21T00:00:00+00:00,train,161,6,4,10,40,277,1,174,217,200.57142857142858,191.21428571428572,,141,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-05,14,2015-09-22T00:00:00+00:00,train,179,0,5,10,41,278,0,183,181,181.14285714285714,181.28571428571428,,176,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-05,14,2015-09-22T00:00:00+00:00,train,174,0,5,10,41,278,0,211,212,206.28571428571428,191.14285714285714,,159,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-06,14,2015-09-23T00:00:00+00:00,train,185,1,6,10,41,279,0,183,183,181.0,181.28571428571428,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-06,14,2015-09-23T00:00:00+00:00,train,180,1,6,10,41,279,0,219,165,209.71428571428572,195.0,166.21428571428572,160,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-07,14,2015-09-24T00:00:00+00:00,train,182,2,7,10,41,280,0,180,179,181.85714285714286,181.35714285714286,,171,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-07,14,2015-09-24T00:00:00+00:00,train,222,2,7,10,41,280,0,209,199,209.57142857142858,195.71428571428572,168.96428571428572,181,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-08,14,2015-09-25T00:00:00+00:00,train,182,3,8,10,41,281,0,182,183,181.57142857142858,181.28571428571428,,173,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-08,14,2015-09-25T00:00:00+00:00,train,223,3,8,10,41,281,0,197,187,206.85714285714286,196.42857142857142,171.96428571428572,200,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-09,14,2015-09-26T00:00:00+00:00,train,167,4,9,10,41,282,0,174,182,180.57142857142858,180.71428571428572,,154,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-09,14,2015-09-26T00:00:00+00:00,train,205,4,9,10,41,282,0,216,187,206.28571428571428,198.5,176.75,183,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-10,14,2015-09-27T00:00:00+00:00,train,183,5,10,10,41,283,1,183,185,180.57142857142858,180.57142857142858,,156,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-10,14,2015-09-27T00:00:00+00:00,train,222,5,10,10,41,283,1,188,194,202.0,198.07142857142858,180.57142857142858,206,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-11,14,2015-09-28T00:00:00+00:00,train,168,6,11,10,41,284,1,183,174,181.14285714285714,181.21428571428572,,126,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-11,14,2015-09-28T00:00:00+00:00,train,173,6,11,10,41,284,1,194,129,204.85714285714286,202.71428571428572,185.25,144,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-12,14,2015-09-29T00:00:00+00:00,train,155,0,12,10,42,285,0,180,184,180.71428571428572,180.92857142857142,,125,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-12,14,2015-09-29T00:00:00+00:00,train,175,0,12,10,42,285,0,197,171,202.85714285714286,204.57142857142858,188.75,116,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-13,14,2015-09-30T00:00:00+00:00,train,131,1,13,10,42,286,0,183,184,180.71428571428572,180.85714285714286,,101,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-13,14,2015-09-30T00:00:00+00:00,train,156,1,13,10,42,286,0,164,195,195.0,202.35714285714286,191.14285714285714,109,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-14,14,2015-10-01T00:00:00+00:00,train,134,2,14,10,42,287,0,184,174,181.28571428571428,181.57142857142858,,110,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-14,14,2015-10-01T00:00:00+00:00,train,133,2,14,10,42,287,0,113,210,181.28571428571428,195.42857142857142,190.64285714285714,114,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-15,14,2015-10-02T00:00:00+00:00,train,180,3,15,10,42,288,0,182,184,181.28571428571428,181.42857142857142,,175,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-15,14,2015-10-02T00:00:00+00:00,train,190,3,15,10,42,288,0,92,216,166.28571428571428,186.57142857142858,189.28571428571428,195,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-16,14,2015-10-03T00:00:00+00:00,train,178,4,16,10,42,289,0,183,181,182.57142857142858,181.57142857142858,,156,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-16,14,2015-10-03T00:00:00+00:00,train,216,4,16,10,42,289,0,211,220,165.57142857142858,185.92857142857142,189.42857142857142,216,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-17,14,2015-10-04T00:00:00+00:00,train,179,5,17,10,42,290,1,178,183,181.85714285714286,181.21428571428572,,162,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-17,14,2015-10-04T00:00:00+00:00,train,217,5,17,10,42,290,1,200,218,167.28571428571428,184.64285714285714,189.46428571428572,225,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-18,14,2015-10-05T00:00:00+00:00,train,181,6,18,10,42,291,1,175,179,180.71428571428572,180.92857142857142,181.03571428571428,165,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-18,14,2015-10-05T00:00:00+00:00,train,155,6,18,10,42,291,1,161,174,162.57142857142858,183.71428571428572,187.46428571428572,132,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-19,14,2015-10-06T00:00:00+00:00,train,152,0,19,10,43,292,0,179,183,180.57142857142858,180.64285714285714,180.96428571428572,129,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-19,14,2015-10-06T00:00:00+00:00,train,196,0,19,10,43,292,0,174,211,159.28571428571428,181.07142857142858,186.10714285714286,142,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-20,14,2015-10-07T00:00:00+00:00,train,157,1,20,10,43,293,0,185,183,180.85714285714286,180.78571428571428,181.03571428571428,127,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-20,14,2015-10-07T00:00:00+00:00,train,215,1,20,10,43,293,0,180,219,161.57142857142858,178.28571428571428,186.64285714285714,137,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-21,14,2015-10-08T00:00:00+00:00,train,172,2,21,10,43,294,0,182,180,180.57142857142858,180.92857142857142,181.14285714285714,151,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-21,14,2015-10-08T00:00:00+00:00,train,215,2,21,10,43,294,0,222,209,177.14285714285714,179.21428571428572,187.46428571428572,144,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-22,14,2015-10-09T00:00:00+00:00,train,181,3,22,10,43,295,0,182,182,180.57142857142858,180.92857142857142,181.10714285714286,177,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-22,14,2015-10-09T00:00:00+00:00,train,145,3,22,10,43,295,0,223,197,195.85714285714286,181.07142857142858,188.75,113,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-23,14,2015-10-10T00:00:00+00:00,train,177,4,23,10,43,296,0,167,174,178.28571428571428,180.42857142857142,180.57142857142858,159,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-23,14,2015-10-10T00:00:00+00:00,train,127,4,23,10,43,296,0,205,216,195.0,180.28571428571428,189.39285714285714,96,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-24,14,2015-10-11T00:00:00+00:00,train,159,5,24,10,43,297,1,183,183,179.0,180.42857142857142,180.5,135,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-24,14,2015-10-11T00:00:00+00:00,train,107,5,24,10,43,297,1,222,188,198.14285714285714,182.71428571428572,190.39285714285714,102,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-25,14,2015-10-12T00:00:00+00:00,train,124,6,25,10,43,298,1,168,183,178.0,179.35714285714286,180.28571428571428,113,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-25,14,2015-10-12T00:00:00+00:00,train,195,6,25,10,43,298,1,173,194,199.85714285714286,181.21428571428572,191.96428571428572,148,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-26,14,2015-10-13T00:00:00+00:00,train,106,0,26,10,44,299,0,155,180,174.57142857142858,177.57142857142858,179.25,87,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-26,14,2015-10-13T00:00:00+00:00,train,199,0,26,10,44,299,0,175,197,200.0,179.64285714285714,192.10714285714286,170,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-27,14,2015-10-14T00:00:00+00:00,train,115,1,27,10,44,300,0,131,183,166.85714285714286,173.85714285714286,177.35714285714286,83,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-27,14,2015-10-14T00:00:00+00:00,train,186,1,27,10,44,300,0,156,164,196.57142857142858,179.07142857142858,190.71428571428572,175,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-28,14,2015-10-15T00:00:00+00:00,train,102,2,28,10,44,301,0,134,184,160.0,170.28571428571428,175.92857142857142,68,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-28,14,2015-10-15T00:00:00+00:00,train,173,2,28,10,44,301,0,133,113,183.85714285714286,180.5,187.96428571428572,141,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-29,14,2015-10-16T00:00:00+00:00,train,89,3,29,10,44,302,0,180,182,159.71428571428572,170.14285714285714,175.78571428571428,59,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-29,14,2015-10-16T00:00:00+00:00,train,201,3,29,10,44,302,0,190,92,179.14285714285714,187.5,187.03571428571428,174,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-30,14,2015-10-17T00:00:00+00:00,train,100,4,30,10,44,303,0,178,183,161.28571428571428,169.78571428571428,175.67857142857142,63,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-30,14,2015-10-17T00:00:00+00:00,train,177,4,30,10,44,303,0,216,211,180.71428571428572,187.85714285714286,186.89285714285714,156,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-31,14,2015-10-18T00:00:00+00:00,train,119,5,31,10,44,304,1,179,178,160.71428571428572,169.85714285714286,175.53571428571428,90,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-31,14,2015-10-18T00:00:00+00:00,train,99,5,31,10,44,304,1,217,200,180.0,189.07142857142858,186.85714285714286,95,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-01,14,2015-10-19T00:00:00+00:00,train,73,6,1,11,44,305,1,181,175,162.57142857142858,170.28571428571428,175.60714285714286,49,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-01,14,2015-10-19T00:00:00+00:00,train,94,6,1,11,44,305,1,155,161,177.42857142857142,188.64285714285714,186.17857142857142,89,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-02,14,2015-10-20T00:00:00+00:00,train,78,0,2,11,45,306,0,152,179,162.14285714285714,168.35714285714286,174.5,61,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-02,14,2015-10-20T00:00:00+00:00,train,68,0,2,11,45,306,0,196,174,180.42857142857142,190.21428571428572,185.64285714285714,44,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-03,14,2015-10-21T00:00:00+00:00,train,113,1,3,11,45,307,0,157,185,165.85714285714286,166.35714285714286,173.57142857142858,79,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-03,14,2015-10-21T00:00:00+00:00,train,72,1,3,11,45,307,0,215,180,188.85714285714286,192.71428571428572,185.5,43,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-04,14,2015-10-22T00:00:00+00:00,train,108,2,4,11,45,308,0,172,182,171.28571428571428,165.64285714285714,173.28571428571428,80,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-04,14,2015-10-22T00:00:00+00:00,train,80,2,4,11,45,308,0,215,222,200.57142857142858,192.21428571428572,185.71428571428572,70,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-05,14,2015-10-23T00:00:00+00:00,train,109,3,5,11,45,309,0,181,182,171.42857142857142,165.57142857142858,173.25,87,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-05,14,2015-10-23T00:00:00+00:00,train,89,3,5,11,45,309,0,145,223,194.14285714285714,186.64285714285714,183.85714285714286,79,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-06,14,2015-10-24T00:00:00+00:00,train,116,4,6,11,45,310,0,177,167,171.28571428571428,166.28571428571428,173.35714285714286,96,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-06,14,2015-10-24T00:00:00+00:00,train,112,4,6,11,45,310,0,127,205,181.42857142857142,181.07142857142858,180.67857142857142,86,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-07,14,2015-10-25T00:00:00+00:00,train,143,5,7,11,45,311,1,159,183,168.42857142857142,164.57142857142858,172.5,122,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-07,14,2015-10-25T00:00:00+00:00,train,98,5,7,11,45,311,1,107,222,165.71428571428572,172.85714285714286,177.78571428571428,81,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-08,14,2015-10-26T00:00:00+00:00,train,143,6,8,11,45,312,1,124,168,160.28571428571428,161.42857142857142,170.39285714285714,129,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-08,14,2015-10-26T00:00:00+00:00,train,90,6,8,11,45,312,1,195,173,171.42857142857142,174.42857142857142,177.82142857142858,77,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-09,14,2015-10-27T00:00:00+00:00,train,149,0,9,11,46,313,0,106,155,153.71428571428572,157.92857142857142,167.75,128,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-09,14,2015-10-27T00:00:00+00:00,train,56,0,9,11,46,313,0,199,175,171.85714285714286,176.14285714285714,177.89285714285714,41,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-10,14,2015-10-28T00:00:00+00:00,train,155,1,10,11,46,314,0,115,131,147.71428571428572,156.78571428571428,165.32142857142858,134,
