hotel_key,hotel_public_id,target_date,horizon_days,prediction_cutoff,partition,target_room_nights,day_of_week,day_of_month,month,week_of_year,day_of_year,is_weekend,demand_lag_7,demand_lag_14,demand_lag_28,demand_rolling_mean_7,demand_rolling_mean_14,demand_rolling_mean_28,on_books_room_nights_at_cutoff,rooms_existing_at_cutoff
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-09,7,2015-09-03T00:00:00+00:00,train,179,2,9,9,37,252,0,,,,,,,171,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-09,7,2015-09-03T00:00:00+00:00,train,199,2,9,9,37,252,0,127,132,,94.57142857142857,,,160,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-10,7,2015-09-04T00:00:00+00:00,train,183,3,10,9,37,253,0,,,,,,,181,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-10,7,2015-09-04T00:00:00+00:00,train,187,3,10,9,37,253,0,130,113,,97.0,,,152,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-11,7,2015-09-05T00:00:00+00:00,train,182,4,11,9,37,254,0,,,,,,,170,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-11,7,2015-09-05T00:00:00+00:00,train,187,4,11,9,37,254,0,207,82,,114.85714285714286,,,188,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-12,7,2015-09-06T00:00:00+00:00,train,185,5,12,9,37,255,1,,,,,,,179,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-12,7,2015-09-06T00:00:00+00:00,train,194,5,12,9,37,255,1,199,81,,131.71428571428572,,,204,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-13,7,2015-09-07T00:00:00+00:00,train,174,6,13,9,37,256,1,,,,,,,169,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-13,7,2015-09-07T00:00:00+00:00,train,129,6,13,9,37,256,1,217,63,,153.71428571428572,,,128,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-14,7,2015-09-08T00:00:00+00:00,train,184,0,14,9,38,257,0,181,,,,,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-14,7,2015-09-08T00:00:00+00:00,train,171,0,14,9,38,257,0,212,99,,169.85714285714286,,,153,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-15,7,2015-09-09T00:00:00+00:00,train,184,1,15,9,38,258,0,183,,,,,,177,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-15,7,2015-09-09T00:00:00+00:00,train,195,1,15,9,38,258,0,165,97,,179.57142857142858,137.42857142857142,,175,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-16,7,2015-09-10T00:00:00+00:00,train,174,2,16,9,38,259,0,179,,,,,,146,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-16,7,2015-09-10T00:00:00+00:00,train,210,2,16,9,38,259,0,199,127,,189.85714285714286,142.21428571428572,,199,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-17,7,2015-09-11T00:00:00+00:00,train,184,3,17,9,38,260,0,183,,,,,,176,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-17,7,2015-09-11T00:00:00+00:00,train,216,3,17,9,38,260,0,187,130,,198.0,147.5,,206,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-18,7,2015-09-12T00:00:00+00:00,train,181,4,18,9,38,261,0,182,,,,,,178,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-18,7,2015-09-12T00:00:00+00:00,train,220,4,18,9,38,261,0,187,207,,195.14285714285714,155.0,,215,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-19,7,2015-09-13T00:00:00+00:00,train,183,5,19,9,38,262,1,185,,,,,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-19,7,2015-09-13T00:00:00+00:00,train,218,5,19,9,38,262,1,194,199,,194.42857142857142,163.07142857142858,,192,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-20,7,2015-09-14T00:00:00+00:00,train,179,6,20,9,38,263,1,174,,,181.0,,,177,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-20,7,2015-09-14T00:00:00+00:00,train,174,6,20,9,38,263,1,129,217,,181.85714285714286,167.78571428571428,,127,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-21,7,2015-09-15T00:00:00+00:00,train,183,0,21,9,39,264,0,184,181,,181.42857142857142,,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-21,7,2015-09-15T00:00:00+00:00,train,211,0,21,9,39,264,0,171,212,,176.0,172.92857142857142,,170,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-22,7,2015-09-16T00:00:00+00:00,train,183,1,22,9,39,265,0,184,183,,181.57142857142858,,,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-22,7,2015-09-16T00:00:00+00:00,train,219,1,22,9,39,265,0,195,165,,180.28571428571428,179.92857142857142,,162,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-23,7,2015-09-17T00:00:00+00:00,train,180,2,23,9,39,266,0,174,179,,180.85714285714286,,,178,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-23,7,2015-09-17T00:00:00+00:00,train,209,2,23,9,39,266,0,210,199,132,181.85714285714286,185.85714285714286,,166,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-24,7,2015-09-18T00:00:00+00:00,train,182,3,24,9,39,267,0,184,183,,181.0,,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-24,7,2015-09-18T00:00:00+00:00,train,197,3,24,9,39,267,0,216,187,113,186.0,192.0,,163,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-25,7,2015-09-19T00:00:00+00:00,train,174,4,25,9,39,268,0,181,182,,180.85714285714286,,,167,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-25,7,2015-09-19T00:00:00+00:00,train,216,4,25,9,39,268,0,220,187,82,190.71428571428572,192.92857142857142,,209,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-26,7,2015-09-20T00:00:00+00:00,train,183,5,26,9,39,269,1,183,185,,180.57142857142858,,,179,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-26,7,2015-09-20T00:00:00+00:00,train,188,5,26,9,39,269,1,218,194,81,194.14285714285714,194.28571428571428,,178,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-27,7,2015-09-21T00:00:00+00:00,train,183,6,27,9,39,270,1,179,174,,181.28571428571428,181.14285714285714,,178,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-27,7,2015-09-21T00:00:00+00:00,train,194,6,27,9,39,270,1,174,129,63,200.57142857142858,191.21428571428572,,180,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-28,7,2015-09-22T00:00:00+00:00,train,180,0,28,9,40,271,0,183,184,,181.14285714285714,181.28571428571428,,171,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-28,7,2015-09-22T00:00:00+00:00,train,197,0,28,9,40,271,0,211,171,99,206.28571428571428,191.14285714285714,,186,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-29,7,2015-09-23T00:00:00+00:00,train,183,1,29,9,40,272,0,183,184,,181.0,181.28571428571428,,178,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-29,7,2015-09-23T00:00:00+00:00,train,164,1,29,9,40,272,0,219,195,97,209.71428571428572,195.0,166.21428571428572,150,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-30,7,2015-09-24T00:00:00+00:00,train,184,2,30,9,40,273,0,180,174,,181.85714285714286,181.35714285714286,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-30,7,2015-09-24T00:00:00+00:00,train,113,2,30,9,40,273,0,209,210,127,209.57142857142858,195.71428571428572,168.96428571428572,111,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-01,7,2015-09-25T00:00:00+00:00,train,182,3,1,10,40,274,0,182,184,,181.57142857142858,181.28571428571428,,176,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-01,7,2015-09-25T00:00:00+00:00,train,92,3,1,10,40,274,0,197,216,130,206.85714285714286,196.42857142857142,171.96428571428572,74,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-02,7,2015-09-26T00:00:00+00:00,train,183,4,2,10,40,275,0,174,181,,180.57142857142858,180.71428571428572,,183,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-02,7,2015-09-26T00:00:00+00:00,train,211,4,2,10,40,275,0,216,220,207,206.28571428571428,198.5,176.75,205,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-03,7,2015-09-27T00:00:00+00:00,train,178,5,3,10,40,276,1,183,183,,180.57142857142858,180.57142857142858,,172,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-03,7,2015-09-27T00:00:00+00:00,train,200,5,3,10,40,276,1,188,218,199,202.0,198.07142857142858,180.57142857142858,207,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-04,7,2015-09-28T00:00:00+00:00,train,175,6,4,10,40,277,1,183,179,,181.14285714285714,181.21428571428572,,162,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-04,7,2015-09-28T00:00:00+00:00,train,161,6,4,10,40,277,1,194,174,217,204.85714285714286,202.71428571428572,185.25,160,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-05,7,2015-09-29T00:00:00+00:00,train,179,0,5,10,41,278,0,180,183,181,180.71428571428572,180.92857142857142,,181,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-05,7,2015-09-29T00:00:00+00:00,train,174,0,5,10,41,278,0,197,211,212,202.85714285714286,204.57142857142858,188.75,154,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-06,7,2015-09-30T00:00:00+00:00,train,185,1,6,10,41,279,0,183,183,183,180.71428571428572,180.85714285714286,,183,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-06,7,2015-09-30T00:00:00+00:00,train,180,1,6,10,41,279,0,164,219,165,195.0,202.35714285714286,191.14285714285714,164,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-07,7,2015-10-01T00:00:00+00:00,train,182,2,7,10,41,280,0,184,180,179,181.28571428571428,181.57142857142858,,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-07,7,2015-10-01T00:00:00+00:00,train,222,2,7,10,41,280,0,113,209,199,181.28571428571428,195.42857142857142,190.64285714285714,199,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-08,7,2015-10-02T00:00:00+00:00,train,182,3,8,10,41,281,0,182,182,183,181.28571428571428,181.42857142857142,,185,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-08,7,2015-10-02T00:00:00+00:00,train,223,3,8,10,41,281,0,92,197,187,166.28571428571428,186.57142857142858,189.28571428571428,210,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-09,7,2015-10-03T00:00:00+00:00,train,167,4,9,10,41,282,0,183,174,182,182.57142857142858,181.57142857142858,,154,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-09,7,2015-10-03T00:00:00+00:00,train,205,4,9,10,41,282,0,211,216,187,165.57142857142858,185.92857142857142,189.42857142857142,197,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-10,7,2015-10-04T00:00:00+00:00,train,183,5,10,10,41,283,1,178,183,185,181.85714285714286,181.21428571428572,,161,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-10,7,2015-10-04T00:00:00+00:00,train,222,5,10,10,41,283,1,200,188,194,167.28571428571428,184.64285714285714,189.46428571428572,225,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-11,7,2015-10-05T00:00:00+00:00,train,168,6,11,10,41,284,1,175,183,174,180.71428571428572,180.92857142857142,181.03571428571428,128,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-11,7,2015-10-05T00:00:00+00:00,train,173,6,11,10,41,284,1,161,194,129,162.57142857142858,183.71428571428572,187.46428571428572,167,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-12,7,2015-10-06T00:00:00+00:00,train,155,0,12,10,42,285,0,179,180,184,180.57142857142858,180.64285714285714,180.96428571428572,132,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-12,7,2015-10-06T00:00:00+00:00,train,175,0,12,10,42,285,0,174,197,171,159.28571428571428,181.07142857142858,186.10714285714286,153,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-13,7,2015-10-07T00:00:00+00:00,train,131,1,13,10,42,286,0,185,183,184,180.85714285714286,180.78571428571428,181.03571428571428,105,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-13,7,2015-10-07T00:00:00+00:00,train,156,1,13,10,42,286,0,180,164,195,161.57142857142858,178.28571428571428,186.64285714285714,126,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-14,7,2015-10-08T00:00:00+00:00,train,134,2,14,10,42,287,0,182,184,174,180.57142857142858,180.92857142857142,181.14285714285714,114,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-14,7,2015-10-08T00:00:00+00:00,train,133,2,14,10,42,287,0,222,113,210,177.14285714285714,179.21428571428572,187.46428571428572,116,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-15,7,2015-10-09T00:00:00+00:00,train,180,3,15,10,42,288,0,182,182,184,180.57142857142858,180.92857142857142,181.10714285714286,181,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-15,7,2015-10-09T00:00:00+00:00,train,190,3,15,10,42,288,0,223,92,216,195.85714285714286,181.07142857142858,188.75,181,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-16,7,2015-10-10T00:00:00+00:00,train,178,4,16,10,42,289,0,167,183,181,178.28571428571428,180.42857142857142,180.57142857142858,175,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-16,7,2015-10-10T00:00:00+00:00,train,216,4,16,10,42,289,0,205,211,220,195.0,180.28571428571428,189.39285714285714,216,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-17,7,2015-10-11T00:00:00+00:00,train,179,5,17,10,42,290,1,183,178,183,179.0,180.42857142857142,180.5,176,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-17,7,2015-10-11T00:00:00+00:00,train,217,5,17,10,42,290,1,222,200,218,198.14285714285714,182.71428571428572,190.39285714285714,218,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-18,7,2015-10-12T00:00:00+00:00,train,181,6,18,10,42,291,1,168,175,179,178.0,179.35714285714286,180.28571428571428,173,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-18,7,2015-10-12T00:00:00+00:00,train,155,6,18,10,42,291,1,173,161,174,199.85714285714286,181.21428571428572,191.96428571428572,139,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-19,7,2015-10-13T00:00:00+00:00,train,152,0,19,10,43,292,0,155,179,183,174.57142857142858,177.57142857142858,179.25,140,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-19,7,2015-10-13T00:00:00+00:00,train,196,0,19,10,43,292,0,175,174,211,200.0,179.64285714285714,192.10714285714286,153,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-20,7,2015-10-14T00:00:00+00:00,train,157,1,20,10,43,293,0,131,185,183,166.85714285714286,173.85714285714286,177.35714285714286,138,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-20,7,2015-10-14T00:00:00+00:00,train,215,1,20,10,43,293,0,156,180,219,196.57142857142858,179.07142857142858,190.71428571428572,170,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-21,7,2015-10-15T00:00:00+00:00,train,172,2,21,10,43,294,0,134,182,180,160.0,170.28571428571428,175.92857142857142,158,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-21,7,2015-10-15T00:00:00+00:00,train,215,2,21,10,43,294,0,133,222,209,183.85714285714286,180.5,187.96428571428572,197,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-22,7,2015-10-16T00:00:00+00:00,train,181,3,22,10,43,295,0,180,182,182,159.71428571428572,170.14285714285714,175.78571428571428,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-22,7,2015-10-16T00:00:00+00:00,train,145,3,22,10,43,295,0,190,223,197,179.14285714285714,187.5,187.03571428571428,141,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-23,7,2015-10-17T00:00:00+00:00,train,177,4,23,10,43,296,0,178,167,174,161.28571428571428,169.78571428571428,175.67857142857142,170,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-23,7,2015-10-17T00:00:00+00:00,train,127,4,23,10,43,296,0,216,205,216,180.71428571428572,187.85714285714286,186.89285714285714,125,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-24,7,2015-10-18T00:00:00+00:00,train,159,5,24,10,43,297,1,179,183,183,160.71428571428572,169.85714285714286,175.53571428571428,148,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-24,7,2015-10-18T00:00:00+00:00,train,107,5,24,10,43,297,1,217,222,188,180.0,189.07142857142858,186.85714285714286,100,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-25,7,2015-10-19T00:00:00+00:00,train,124,6,25,10,43,298,1,181,168,183,162.57142857142858,170.28571428571428,175.60714285714286,118,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-25,7,2015-10-19T00:00:00+00:00,train,195,6,25,10,43,298,1,155,173,194,177.42857142857142,188.64285714285714,186.17857142857142,185,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-26,7,2015-10-20T00:00:00+00:00,train,106,0,26,10,44,299,0,152,155,180,162.14285714285714,168.35714285714286,174.5,92,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-26,7,2015-10-20T00:00:00+00:00,train,199,0,26,10,44,299,0,196,175,197,180.42857142857142,190.21428571428572,185.64285714285714,189,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-27,7,2015-10-21T00:00:00+00:00,train,115,1,27,10,44,300,0,157,131,183,165.85714285714286,166.35714285714286,173.57142857142858,89,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-27,7,2015-10-21T00:00:00+00:00,train,186,1,27,10,44,300,0,215,156,164,188.85714285714286,192.71428571428572,185.5,177,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-28,7,2015-10-22T00:00:00+00:00,train,102,2,28,10,44,301,0,172,134,184,171.28571428571428,165.64285714285714,173.28571428571428,77,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-28,7,2015-10-22T00:00:00+00:00,train,173,2,28,10,44,301,0,215,133,113,200.57142857142858,192.21428571428572,185.71428571428572,152,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-29,7,2015-10-23T00:00:00+00:00,train,89,3,29,10,44,302,0,181,180,182,171.42857142857142,165.57142857142858,173.25,71,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-29,7,2015-10-23T00:00:00+00:00,train,201,3,29,10,44,302,0,145,190,92,194.14285714285714,186.64285714285714,183.85714285714286,198,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-30,7,2015-10-24T00:00:00+00:00,train,100,4,30,10,44,303,0,177,178,183,171.28571428571428,166.28571428571428,173.35714285714286,76,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-30,7,2015-10-24T00:00:00+00:00,train,177,4,30,10,44,303,0,127,216,211,181.42857142857142,181.07142857142858,180.67857142857142,173,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-10-31,7,2015-10-25T00:00:00+00:00,train,119,5,31,10,44,304,1,159,179,178,168.42857142857142,164.57142857142858,172.5,103,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-10-31,7,2015-10-25T00:00:00+00:00,train,99,5,31,10,44,304,1,107,217,200,165.71428571428572,172.85714285714286,177.78571428571428,91,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-01,7,2015-10-26T00:00:00+00:00,train,73,6,1,11,44,305,1,124,181,175,160.28571428571428,161.42857142857142,170.39285714285714,62,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-01,7,2015-10-26T00:00:00+00:00,train,94,6,1,11,44,305,1,195,155,161,171.42857142857142,174.42857142857142,177.82142857142858,85,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-02,7,2015-10-27T00:00:00+00:00,train,78,0,2,11,45,306,0,106,152,179,153.71428571428572,157.92857142857142,167.75,70,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-02,7,2015-10-27T00:00:00+00:00,train,68,0,2,11,45,306,0,199,196,174,171.85714285714286,176.14285714285714,177.89285714285714,55,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-03,7,2015-10-28T00:00:00+00:00,train,113,1,3,11,45,307,0,115,157,185,147.71428571428572,156.78571428571428,165.32142857142858,88,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-03,7,2015-10-28T00:00:00+00:00,train,72,1,3,11,45,307,0,186,215,180,167.71428571428572,178.28571428571428,178.67857142857142,60,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-04,7,2015-10-29T00:00:00+00:00,train,108,2,4,11,45,308,0,102,172,182,137.71428571428572,154.5,162.39285714285714,89,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-04,7,2015-10-29T00:00:00+00:00,train,80,2,4,11,45,308,0,173,215,222,161.71428571428572,181.14285714285714,180.82142857142858,65,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-05,7,2015-10-30T00:00:00+00:00,train,109,3,5,11,45,309,0,89,181,182,124.57142857142857,148.0,159.07142857142858,92,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-05,7,2015-10-30T00:00:00+00:00,train,89,3,5,11,45,309,0,201,145,223,169.71428571428572,181.92857142857142,184.71428571428572,69,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-06,7,2015-10-31T00:00:00+00:00,train,116,4,6,11,45,310,0,100,177,167,113.57142857142857,142.42857142857142,156.10714285714286,100,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-06,7,2015-10-31T00:00:00+00:00,train,112,4,6,11,45,310,0,177,127,205,176.85714285714286,179.14285714285714,183.5,93,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-11-07,7,2015-11-01T00:00:00+00:00,train,143,5,7,11,45,311,1,119,159,183,107.85714285714286,138.14285714285714,154.0,124,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-11-07,7,2015-11-01T00:00:00+00:00,train,98,5,7,11,45,311,1,99,107,222,175.71428571428572,170.71428571428572,179.89285714285714,90,
